episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error
248,-0.25,10,3.8,0.97489,-78.236641,,20.0,,
249,-2.56,10,3.8,0.97483,-104.864586,,20.0,,
250,0.46,12,3.84,0.974712,-108.72406,,20.0,,
251,0.34,10,3.86,0.974616,-87.879265,,20.0,,
252,0.46,12,3.87,0.974519,-94.794983,,20.0,,
253,-0.57,11,3.89,0.974408,-100.888527,,20.0,,
254,-0.79,11,3.91,0.974301,-96.870071,,20.0,,
255,-0.4,11,3.93,0.974107,-116.1968,,20.0,,
256,-1.35,11,3.94,0.973856,-114.891792,,20.0,,
257,0.5,11,3.95,0.973625,-91.501816,,20.0,,
258,-0.74,11,3.96,0.973421,-94.314156,,20.0,,
259,-1.5,11,3.98,0.973239,-95.743088,,20.0,,
260,-3.1,10,3.98,0.973094,-94.137634,,20.0,,
261,-1.59,11,4.01,0.97301,-85.556267,,20.0,,
262,0.57,13,4.03,0.972947,-87.379761,,20.0,,
263,1.02,12,4.05,0.972899,-88.277618,,20.0,,
264,1.35,17,4.07,0.972873,-87.00853,,20.0,,
265,2.29,15,4.09,0.972865,-84.358772,,20.0,,
266,-0.21,11,4.1,0.972822,-100.912109,,20.0,,
267,-0.03,10,4.13,0.972789,-90.805725,,20.0,,
268,-2.44,10,4.14,0.972812,-83.74015,,20.0,,
269,1.2,16,4.17,0.972819,-94.503616,,20.0,,
270,0.28,10,4.19,0.972816,-92.690018,,20.0,,
271,1.27,17,4.2,0.972826,-89.1856,,20.0,,
272,-0.77,10,4.22,0.972751,-113.65448,,20.0,,
273,0.55,13,4.24,0.972677,-94.12606,,20.0,,
274,0.79,12,4.25,0.972634,-84.315941,,20.0,,
275,-1.8,12,4.26,0.972572,-105.649231,,20.0,,
276,-0.9,11,4.27,0.972503,-98.82769,,20.0,,
277,1.89,14,4.29,0.972459,-84.452888,,20.0,,
278,0.29,10,4.3,0.97239,-98.43074,,20.0,,
279,-0.85,11,4.32,0.972343,-88.588715,,20.0,,
280,-0.04,10,4.34,0.972301,-91.727585,,20.0,,
281,-0.27,13,4.37,0.972271,-92.817871,,20.0,,
282,-1.02,10,4.4,0.972271,-87.910011,,20.0,,
283,-2.95,12,4.42,0.972297,-94.24073,,20.0,,
284,-2.35,12,4.44,0.972252,-114.493599,,20.0,,
285,-1.52,11,4.44,0.972278,-81.120293,,20.0,,
286,0.94,13,4.47,0.972297,-89.107834,,20.0,,
287,1.7,15,4.47,0.972264,-102.391655,,20.0,,
288,-1.01,11,4.5,0.972247,-93.645149,,20.0,,
289,-0.53,11,4.51,0.972226,-95.363358,,20.0,,
290,-0.17,11,4.53,0.972153,-104.964355,,20.0,,
291,-0.8,11,4.54,0.972058,-100.014671,,20.0,,
292,1.44,13,4.56,0.971983,-86.577232,,20.0,,
293,-1.29,11,4.57,0.971916,-95.492683,,20.0,,
294,1.36,11,4.58,0.971834,-92.496925,,20.0,,
295,-1.62,11,4.6,0.971702,-111.917847,,20.0,,
296,1.82,14,4.61,0.971612,-79.849037,,20.0,,
297,-1.01,11,4.63,0.97157,-85.396385,,20.0,,
298,-0.06,13,4.65,0.971502,-99.830429,,20.0,,
299,-1.01,11,4.66,0.971444,-93.412697,,20.0,,
300,2.04,16,4.68,0.971423,-80.211479,,20.0,,
301,0.83,16,4.8,0.971417,-88.817551,,20.0,,
302,0.85,12,4.82,0.971445,-81.012856,,20.0,,
303,-1.33,12,4.85,0.971499,-89.143745,,20.0,,
304,2.6,14,4.86,0.97151,-96.041336,,20.0,,
305,-1.54,11,4.87,0.971507,-100.010254,,20.0,,
306,0.38,11,4.89,0.971447,-102.152733,,20.0,,
307,-0.44,11,4.91,0.971355,-101.130493,,20.0,,
308,2.69,15,4.92,0.971278,-85.172142,,20.0,,
309,1.97,16,4.94,0.971235,-81.142937,,20.0,,
310,-0.59,11,4.95,0.97124,-81.94976,,20.0,,
311,0.33,12,4.95,0.971253,-88.078621,,20.0,,
312,1.76,11,4.98,0.971252,-89.593964,,20.0,,
313,0.81,12,4.99,0.971297,-78.728188,,20.0,,
314,-1.23,11,5.01,0.971363,-89.594437,,20.0,,
315,-0.84,12,5.02,0.971459,-87.120361,,20.0,,
316,0.5,12,5.04,0.971573,-84.260658,,20.0,,
317,0.39,11,5.05,0.97171,-81.985847,,20.0,,
318,1.14,12,5.07,0.971785,-102.876404,,20.0,,
319,0.38,14,5.09,0.971838,-97.520042,,20.0,,
320,1.4,13,5.11,0.971951,-73.194206,,20.0,,
321,0.13,12,5.13,0.972026,-98.306892,,20.0,,
322,2.27,13,5.16,0.972117,-79.35704,,20.0,,
323,-1.98,12,5.18,0.972192,-100.204559,,20.0,,
324,-1.45,9,5.19,0.972255,-96.62059,,20.0,,
325,-0.27,11,5.19,0.972292,-96.486565,,20.0,,
326,1.63,13,5.22,0.972357,-80.520859,,20.0,,
327,-1.38,11,5.24,0.972406,-99.826706,,20.0,,
328,1.24,13,5.25,0.972488,-77.999336,,20.0,,
329,-0.43,11,5.27,0.972554,-94.15403,,20.0,,
330,-2.81,10,5.29,0.972558,-111.170654,,20.0,,
331,2.29,13,5.31,0.972541,-91.389153,,20.0,,
332,3.93,16,5.33,0.97252,-83.054008,,20.0,,
333,1.94,15,5.35,0.972404,-112.026711,,20.0,,
334,2.36,13,5.38,0.972329,-79.29023,,20.0,,
335,5.16,15,5.42,0.9723,-69.205154,,20.0,,
336,4.14,15,5.44,0.972283,-79.534904,,20.0,,
337,0.82,12,5.45,0.972302,-81.646858,,20.0,,
338,0.86,15,5.47,0.972266,-104.56337,,20.0,,
339,1.17,13,5.49,0.972284,-75.908821,,20.0,,
340,2.81,13,5.52,0.972303,-83.036514,,20.0,,
341,1.53,14,5.56,0.97229,-96.287605,,20.0,,
342,2.83,15,5.59,0.972233,-97.507217,,20.0,,
343,2.46,16,5.61,0.972171,-90.339638,,20.0,,
344,-0.56,12,5.64,0.972089,-100.539848,,20.0,,
345,2.52,14,5.67,0.972004,-89.059616,,20.0,,
346,3.78,16,5.71,0.971952,-77.791397,,20.0,,
347,-1.43,11,5.73,0.971887,-100.26844,,20.0,,
348,3.11,13,5.75,0.971828,-84.058907,,20.0,,
349,3.01,13,5.77,0.971808,-75.487793,,20.0,,
350,-0.95,11,5.79,0.971807,-91.174141,,20.0,,
351,3.25,16,5.8,0.97175,-98.243797,,20.0,,
352,3.9,16,5.82,0.971699,-84.401909,,20.0,,
353,0.03,12,5.84,0.971695,-82.942627,,20.0,,
354,3.98,16,5.85,0.9717,-80.877609,,20.0,,
355,-0.34,8,5.87,0.971715,-88.671234,,20.0,,
356,2.49,14,5.9,0.971748,-81.210922,,20.0,,
357,2.86,13,5.92,0.971767,-87.338097,,20.0,,
358,1.9,13,5.94,0.971795,-83.535683,,20.0,,
359,1.72,15,5.96,0.971839,-85.288696,,20.0,,
360,1.04,13,5.98,0.971911,-81.752083,,20.0,,
361,3.61,18,6.03,0.971989,-81.508453,,20.0,,
362,2.03,13,6.05,0.972086,-79.93306,,20.0,,
363,0.99,15,6.07,0.972167,-92.51004,,20.0,,
364,2.96,15,6.1,0.972196,-95.736816,,20.0,,
365,-0.86,11,6.11,0.972207,-97.894753,,20.0,,
366,4.45,16,6.12,0.97223,-77.398651,,20.0,,
367,-0.77,12,6.14,0.972256,-92.586784,,20.0,,
368,2.71,15,6.17,0.972256,-90.212784,,20.0,,
369,2.6,16,6.2,0.972284,-80.977371,,20.0,,
370,2.46,15,6.22,0.972349,-77.329002,,20.0,,
371,3.45,15,6.23,0.972422,-80.362396,,20.0,,
372,-1.67,13,6.25,0.97247,-103.943207,,20.0,,
373,1.13,14,6.28,0.972514,-90.344795,,20.0,,
374,0.13,11,6.3,0.972538,-93.704689,,20.0,,
375,3.47,13,6.32,0.972565,-80.965698,,20.0,,
376,3.65,16,6.34,0.972555,-91.321251,,20.0,,
377,3.57,14,6.36,0.972484,-98.020859,,20.0,,
378,7.1,23,6.4,0.97245,-73.318619,,20.0,,
379,3.3,14,6.42,0.972441,-79.306923,,20.0,,
380,1.19,15,6.44,0.972415,-95.619835,,20.0,,
381,3.62,13,6.47,0.972417,-76.110756,,20.0,,
382,2.15,15,6.49,0.972429,-86.826164,,20.0,,
383,3.24,15,6.51,0.972431,-88.348877,,20.0,,
384,2.29,14,6.52,0.97244,-85.157585,,20.0,,
385,1.96,11,6.53,0.972402,-96.032249,,20.0,,
386,2.24,14,6.54,0.972358,-87.66713,,20.0,,
387,0.54,11,6.56,0.972326,-87.417389,,20.0,,
388,3.53,15,6.57,0.972292,-84.05027,,20.0,,
389,2.71,15,6.59,0.972247,-89.711143,,20.0,,
390,1.43,14,6.61,0.972138,-106.014664,,20.0,,
391,0.43,13,6.62,0.972018,-97.040787,,20.0,,
392,2.2,12,6.63,0.971935,-79.361557,,20.0,,
393,2.87,15,6.67,0.971865,-84.351196,,20.0,,
394,1.98,13,6.67,0.97182,-82.783051,,20.0,,
395,0.84,21,6.71,0.971799,-94.490005,,20.0,,
396,2.79,12,6.73,0.971806,-77.765495,,20.0,,
397,3.35,15,6.75,0.971831,-80.830666,,20.0,,
398,2.31,14,6.78,0.971828,-92.077164,,20.0,,
399,2.83,13,6.79,0.971821,-85.614365,,20.0,,
400,2.08,11,6.81,0.971818,-84.587128,,20.0,,
401,4.01,12,6.91,0.971855,-70.623665,,20.0,,
402,2.66,11,6.91,0.971902,-79.620476,,20.0,,
403,3.26,12,6.94,0.971853,-104.073509,,20.0,,
404,1.94,14,6.96,0.971838,-79.774864,,20.0,,
405,0.86,11,6.97,0.971811,-91.9645,,20.0,,
406,1.49,14,6.99,0.971807,-83.790421,,20.0,,
407,3.98,14,7.01,0.971858,-70.093704,,20.0,,
408,2.2,13,7.02,0.971938,-77.859627,,20.0,,
409,3.57,14,7.05,0.972026,-80.509911,,20.0,,
410,1.42,13,7.07,0.972048,-101.773766,,20.0,,
411,4.9,17,7.1,0.972068,-79.710312,,20.0,,
412,1.98,14,7.12,0.972074,-91.692192,,20.0,,
413,1.7,12,7.14,0.972085,-84.400719,,20.0,,
414,2.86,12,7.16,0.972136,-74.480331,,20.0,,
415,2.8,12,7.18,0.972177,-84.512527,,20.0,,
416,0.52,11,7.19,0.972222,-88.948059,,20.0,,
417,3.04,15,7.23,0.972283,-81.931618,,20.0,,
418,5.69,13,7.26,0.972303,-84.065018,,20.0,,
419,3.05,12,7.29,0.972303,-86.650543,,20.0,,
420,4.07,12,7.32,0.972287,-84.134575,,20.0,,
421,3.62,14,7.35,0.972276,-82.077141,,20.0,,
422,2.22,12,7.38,0.972251,-88.735535,,20.0,,
423,3.48,13,7.41,0.972236,-80.198067,,20.0,,
424,2.45,12,7.42,0.972198,-90.351799,,20.0,,
425,1.78,12,7.44,0.972203,-77.519173,,20.0,,
426,2.25,13,7.45,0.972214,-84.456802,,20.0,,
427,3.09,15,7.47,0.972256,-79.493431,,20.0,,
428,0.91,22,7.48,0.972296,-97.936447,,20.0,,
429,2.14,11,7.51,0.972313,-88.642212,,20.0,,
430,3.41,14,7.52,0.972327,-83.2995,,20.0,,
431,2.04,12,7.55,0.972279,-101.774132,,20.0,,
432,2.71,12,7.57,0.972222,-86.933815,,20.0,,
433,3.84,13,7.59,0.972168,-83.02153,,20.0,,
434,2.94,10,7.61,0.972123,-80.756973,,20.0,,
435,3.32,14,7.62,0.972104,-79.340927,,20.0,,
436,2.62,11,7.64,0.972119,-76.88105,,20.0,,
437,1.93,11,7.65,0.972161,-78.66729,,20.0,,
438,3.53,10,7.67,0.972184,-83.425499,,20.0,,
439,2.48,11,7.69,0.97224,-76.580681,,20.0,,
440,5.11,13,7.7,0.972269,-84.14994,,20.0,,
441,4.29,11,7.71,0.972286,-79.730301,,20.0,,
442,3.1,15,7.74,0.972288,-90.127724,,20.0,,
443,3.02,10,7.76,0.972284,-83.542183,,20.0,,
444,1.06,12,7.78,0.97225,-94.788139,,20.0,,
445,4.49,17,7.8,0.972216,-86.369461,,20.0,,
446,2.58,11,7.81,0.972123,-96.927727,,20.0,,
447,2.51,12,7.82,0.972078,-75.56945,,20.0,,
448,2.02,12,7.84,0.972027,-87.646935,,20.0,,
449,0.27,12,7.85,0.972002,-86.315468,,20.0,,
450,6.36,18,7.88,0.97198,-80.229103,,20.0,,
451,3.1,11,7.88,0.971947,-85.361763,,20.0,,
452,3.19,12,7.91,0.971969,-70.710686,,20.0,,
453,1.06,12,7.92,0.971947,-99.425255,,20.0,,
454,2.34,12,7.94,0.971992,-70.824348,,20.0,,
455,3.13,10,7.95,0.972063,-74.386047,,20.0,,
456,2.76,11,7.98,0.972074,-94.808891,,20.0,,
457,4.87,14,8.0,0.972101,-76.339745,,20.0,,
