episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error
260,23.65,31,10.21,0.97528,-4.451991,,11.594116,,
261,36.62,33,10.26,0.975128,26.321705,,11.922786,,
262,34.41,39,10.33,0.974955,15.062754,,12.128387,,
263,11.69,28,10.4,0.974824,-33.717621,,11.693728,,
264,29.55,62,10.5,0.974674,-12.307252,,11.553264,,
265,47.19,38,10.56,0.97459,47.567959,,12.125969,,
266,37.53,33,10.62,0.9745,21.341728,,12.400849,,
267,21.11,49,10.7,0.974463,-15.47403,,12.185935,,
268,28.15,36,10.78,0.974441,4.287971,,12.232759,,
269,33.21,44,10.86,0.974443,14.503407,,12.403843,,
270,31.99,31,10.9,0.974398,10.26672,,12.555433,,
271,17.63,41,10.98,0.974384,-28.753151,,12.18008,,
272,7.48,13,11.0,0.974315,-36.37899,,11.749902,,
273,12.12,14,11.03,0.974323,-17.39072,,11.496172,,
274,39.45,37,11.1,0.974266,25.413603,,11.847998,,
275,19.31,22,11.15,0.974275,-7.884417,,11.719054,,
276,34.6,38,11.21,0.9743,16.193689,,11.914485,,
277,77.57,71,11.34,0.97429,84.482658,,12.994628,,
278,26.12,53,11.43,0.974242,-14.734858,,12.827578,,
279,41.51,32,11.48,0.974244,39.655769,,13.30649,,
280,56.97,67,11.6,0.974233,37.978024,,13.790819,,
281,33.52,41,11.67,0.974252,-1.397057,,13.759744,,
282,9.62,12,11.68,0.974223,-34.667385,,13.346011,,
283,39.81,36,11.74,0.974212,24.746851,,13.6499,,
284,4.71,38,11.79,0.97418,-62.930023,,12.86901,,
285,25.09,33,11.86,0.974141,-4.80231,,12.813728,,
286,20.39,33,11.91,0.974099,-24.387085,,12.50997,,
287,33.89,34,11.97,0.973985,11.19258,,12.68775,,
288,28.09,28,12.02,0.973764,-0.900499,,12.735399,,
289,36.17,34,12.09,0.973564,17.731005,,12.959135,,
290,34.03,39,12.19,0.973346,10.183068,,13.106031,,
291,6.22,33,12.28,0.973058,-60.033123,,12.396616,,
292,27.05,32,12.35,0.97282,1.143623,,12.40088,,
293,30.09,33,12.44,0.972571,1.996113,,12.442976,,
294,47.84,50,12.56,0.972456,32.330311,,12.794201,,
295,32.1,71,12.68,0.972407,-13.413882,,12.598941,,
296,29.39,36,12.75,0.972313,4.282778,,12.678994,,
297,5.49,9,12.77,0.971974,-49.697361,,12.189138,,
298,29.78,52,12.87,0.9716,-4.6924,,12.165887,,
299,22.42,45,12.95,0.97126,-19.556974,,11.920849,,
300,23.06,25,13.0,0.970923,-5.079718,,11.872903,,
301,23.9,30,13.29,0.970612,-7.258193,,11.786334,,
302,25.46,31,13.34,0.970256,-5.218163,,11.761699,,
303,26.88,38,13.41,0.969958,-4.639211,,11.691154,,
304,12.61,14,13.43,0.969769,-13.969519,,11.473014,,
305,28.94,29,13.5,0.969539,6.664224,,11.58803,,
306,7.66,11,13.53,0.969325,-29.38448,,11.219316,,
307,28.09,28,13.61,0.969067,5.287113,,11.323287,,
308,30.72,37,13.7,0.968771,6.158867,,11.434599,,
309,10.8,24,13.75,0.968533,-30.83708,,11.029654,,
310,9.33,15,13.79,0.968405,-23.430542,,10.687276,,
311,11.56,22,13.85,0.968285,-25.150188,,10.371384,,
312,30.65,41,13.96,0.96815,6.331668,,10.465684,,
313,53.35,73,14.14,0.967929,36.11517,,10.976318,,
314,22.44,26,14.19,0.967657,-4.833348,,10.955769,,
315,42.76,42,14.29,0.967335,31.75861,,11.399194,,
316,18.03,22,14.35,0.967065,-11.129436,,11.247606,,
317,37.21,45,14.44,0.966945,22.636114,,11.466922,,
318,30.41,32,14.5,0.966778,8.135231,,11.601623,,
319,6.84,10,14.51,0.966688,-28.19516,,11.210869,,
320,34.2,36,14.58,0.966652,17.673576,,11.410483,,
321,22.66,31,14.61,0.966585,-5.795578,,11.354519,,
322,28.45,37,14.68,0.966526,0.669101,,11.361536,,
323,30.78,37,14.75,0.966418,3.532069,,11.436313,,
324,35.92,33,14.79,0.966324,24.458797,,11.742748,,
325,31.17,31,14.85,0.96616,8.582701,,11.894358,,
326,10.31,42,14.93,0.965986,-38.365879,,11.422396,,
327,39.16,37,14.99,0.965791,22.893475,,11.734478,,
328,20.62,26,15.04,0.965644,-7.493392,,11.624335,,
329,22.27,45,15.14,0.965553,-16.704659,,11.390922,,
330,41.44,54,15.21,0.965517,17.872644,,11.591941,,
331,64.25,62,15.31,0.965511,64.75602,,12.400169,,
332,30.43,33,15.36,0.965521,5.709695,,12.466303,,
333,23.3,30,15.41,0.965542,-7.332424,,12.368341,,
334,5.11,11,15.43,0.965412,-46.960949,,11.85266,,
335,21.97,24,15.48,0.965311,-3.923449,,11.794118,,
336,18.39,28,15.51,0.965292,-16.256805,,11.54796,,
337,29.69,30,15.56,0.965293,10.53305,,11.671808,,
338,28.97,29,15.61,0.965267,5.739155,,11.760903,,
339,41.69,42,15.68,0.965278,25.411543,,12.063028,,
340,53.02,54,15.76,0.96526,43.011826,,12.6234,,
341,16.71,21,15.8,0.965247,-18.720675,,12.383913,,
342,39.92,44,15.88,0.965301,18.953152,,12.586002,,
343,29.95,37,15.93,0.965329,2.172996,,12.625825,,
344,9.22,13,15.95,0.965391,-28.414762,,12.24407,,
345,12.74,14,15.96,0.965482,-18.181404,,11.993465,,
346,41.07,38,16.0,0.965592,27.803467,,12.328411,,
347,33.42,36,16.06,0.965674,8.700102,,12.448601,,
348,15.92,22,16.18,0.965761,-21.674932,,12.167836,,
349,22.27,25,16.25,0.965883,-3.315341,,12.101659,,
350,20.76,19,16.29,0.965925,-3.716738,,12.09108,,
351,8.61,12,16.31,0.965801,-36.963493,,11.716195,,
352,23.62,30,16.38,0.965672,-6.592331,,11.642909,,
353,25.7,55,16.48,0.965577,-14.699543,,11.443876,,
354,8.62,28,16.53,0.965493,-38.179932,,10.959362,,
355,12.85,42,16.6,0.965504,-26.234375,,10.57608,,
356,6.72,11,16.62,0.96555,-27.146332,,10.211351,,
357,29.01,29,16.65,0.965582,13.545956,,10.388424,,
358,6.61,11,16.67,0.965588,-28.677074,,10.038625,,
359,45.38,50,16.76,0.965538,28.6092,,10.433258,,
360,38.79,44,16.81,0.965461,18.186432,,10.683182,,
361,7.2,13,16.83,0.965336,-31.651859,,10.314466,,
362,41.7,36,16.89,0.965213,36.975376,,10.789284,,
363,30.59,43,16.96,0.965123,3.861442,,10.826013,,
364,13.95,17,16.99,0.965037,-13.041382,,10.663678,,
365,21.11,24,17.0,0.964958,-0.588244,,10.657067,,
366,10.34,13,17.02,0.964843,-23.111115,,10.390092,,
367,35.11,34,17.07,0.964693,20.047548,,10.67159,,
368,23.59,29,17.12,0.964493,-0.674338,,10.701211,,
369,33.89,36,17.18,0.964253,15.164653,,10.929917,,
370,27.13,35,17.23,0.964012,-0.476046,,10.938082,,
371,21.48,34,17.27,0.963764,-6.791312,,10.869754,,
372,20.92,24,17.3,0.963543,-1.967902,,10.843972,,
373,7.28,10,17.31,0.963291,-28.623901,,10.5129,,
374,34.05,33,17.35,0.963106,23.15027,,10.782558,,
375,7.21,11,17.37,0.963035,-24.284613,,10.416627,,
376,27.65,37,17.43,0.962944,6.757978,,10.519246,,
377,28.92,33,17.47,0.962826,10.184728,,10.669878,,
378,8.69,27,17.5,0.962643,-42.085464,,10.180674,,
379,23.44,25,17.53,0.962469,7.927689,,10.287664,,
380,24.04,33,17.59,0.96227,-1.366416,,10.295003,,
381,33.32,35,17.65,0.962086,18.804638,,10.537562,,
382,21.93,27,17.69,0.96194,-3.741437,,10.478031,,
383,8.88,14,17.71,0.961802,-24.369364,,10.171821,,
384,59.08,51,17.78,0.961585,56.422966,,10.945141,,
385,42.4,39,17.84,0.961374,31.613583,,11.356838,,
386,42.76,38,17.9,0.961203,32.978321,,11.763953,,
387,7.28,13,17.91,0.961022,-34.549843,,11.342977,,
388,38.27,38,17.96,0.960814,19.425442,,11.61677,,
389,9.94,15,17.98,0.96071,-22.467613,,11.280452,,
390,10.56,14,17.99,0.960652,-20.202606,,11.00141,,
391,45.11,39,18.04,0.960509,33.989925,,11.488976,,
392,14.94,27,18.1,0.96035,-27.323971,,11.159441,,
393,27.77,28,18.15,0.96027,9.421402,,11.240859,,
394,26.11,28,18.18,0.960196,5.058822,,11.306169,,
395,15.48,20,18.21,0.960157,-13.72155,,11.114985,,
396,10.96,15,18.23,0.960084,-23.877085,,10.834063,,
397,37.52,39,18.26,0.960052,24.537567,,11.126041,,
398,37.91,33,18.31,0.960068,28.910082,,11.466981,,
399,19.59,20,18.33,0.960077,-4.925279,,11.408079,,
400,28.28,34,18.37,0.960126,4.053336,,11.433702,,
401,31.03,32,18.63,0.960203,12.73213,,11.575315,,
402,7.57,14,18.65,0.960274,-33.941151,,11.142726,,
403,28.27,30,18.7,0.96038,11.137176,,11.2569,,
404,33.88,31,18.74,0.960489,18.667183,,11.485889,,
405,29.6,30,18.77,0.96067,15.963298,,11.638381,,
406,23.03,50,18.83,0.960799,-13.510175,,11.486126,,
407,35.85,37,18.88,0.960907,17.966419,,11.720619,,
408,31.9,39,18.94,0.96106,5.853852,,11.761024,,
409,7.27,14,18.96,0.961155,-37.011658,,11.31559,,
410,33.43,33,19.02,0.961329,20.094591,,11.513931,,
411,39.25,40,19.08,0.961436,24.458643,,11.85517,,
412,32.67,37,19.15,0.961534,15.609746,,12.053137,,
413,44.74,48,19.21,0.961709,26.036615,,12.331619,,
414,26.16,28,19.26,0.961876,-0.880195,,12.314899,,
415,6.59,10,19.29,0.962135,-29.390055,,11.875273,,
416,35.64,31,19.34,0.962439,23.90551,,12.135251,,
417,37.31,33,19.4,0.962686,21.159534,,12.420873,,
418,7.87,14,19.42,0.9629,-36.519466,,11.960501,,
419,23.36,26,19.47,0.962967,-10.973784,,11.89816,,
420,30.02,32,19.51,0.963046,11.553555,,12.033542,,
421,26.92,28,19.58,0.963103,2.301233,,12.070948,,
422,40.75,46,19.66,0.963182,24.594185,,12.367109,,
423,44.04,41,19.74,0.963246,29.29248,,12.744373,,
424,25.9,67,19.86,0.963269,-28.178976,,12.408253,,
425,27.52,31,19.89,0.963272,0.23017,,12.422301,,
426,31.03,45,19.95,0.963319,-8.354051,,12.28867,,
427,23.68,26,19.98,0.963366,-4.587934,,12.227109,,
428,27.25,30,20.02,0.963413,4.966034,,12.28788,,
429,31.44,30,20.07,0.963414,9.208103,,12.43016,,
430,32.26,32,20.14,0.963522,14.770473,,12.550963,,
431,49.87,61,20.21,0.963685,35.239525,,12.957447,,
432,22.22,25,20.25,0.963792,-12.579382,,12.822703,,
433,38.41,72,20.34,0.963874,4.038568,,12.883282,,
434,24.65,31,20.38,0.963932,-9.567549,,12.771527,,
435,27.37,27,20.42,0.964,2.114197,,12.789239,,
436,26.74,27,20.45,0.964035,-2.745533,,12.770813,,
437,34.29,31,20.49,0.964058,16.948618,,12.990916,,
438,29.98,30,20.54,0.964097,4.349681,,13.034779,,
439,42.55,47,20.59,0.964209,21.670168,,13.261391,,
440,9.57,15,20.62,0.964375,-31.595615,,12.819648,,
441,17.57,22,20.66,0.964562,-15.190902,,12.603666,,
442,27.55,29,20.7,0.964738,3.289952,,12.640915,,
443,28.83,32,20.74,0.96489,3.074073,,12.682991,,
444,42.54,35,20.77,0.965081,32.79081,,13.065267,,
445,9.7,12,20.8,0.965295,-29.295708,,12.667822,,
446,11.62,15,20.82,0.965397,-31.00491,,12.331453,,
447,27.89,27,20.85,0.965481,2.924936,,12.373027,,
448,27.79,28,20.9,0.9656,6.007103,,12.42197,,
449,25.96,27,20.93,0.965761,1.384045,,12.406274,,
450,32.35,33,20.99,0.96585,11.378744,,12.584724,,
451,32.39,31,21.03,0.965957,13.613461,,12.740302,,
452,10.72,14,21.04,0.966056,-27.357626,,12.39206,,
453,29.95,29,21.1,0.966135,9.184803,,12.515049,,
